Symbol,Company Name,Exchange,Sector
ASX:CBA,Commonwealth Bank of Australia,Australian Securities Exchange,Financials
ASX:BHP,BHP Group Limited,Australian Securities Exchange,Materials
ASX:RIO,Rio Tinto Group,Australian Securities Exchange,Materials
ASX:NAB,National Australia Bank Limited,Australian Securities Exchange,Financials
ASX:CSL,CSL Limited,Australian Securities Exchange,Healthcare
ASX:WBC,Westpac Banking Corporation,Australian Securities Exchange,Financials
ASX:WES,Wesfarmers Limited,Australian Securities Exchange,Consumer Discretionary
ASX:NEM,Newmont Corporation,Australian Securities Exchange,Materials
ASX:ANZ,ANZ Group Holdings Limited,Australian Securities Exchange,Financials
ASX:MQG,Macquarie Group Limited,Australian Securities Exchange,Financials
ASX:GMG,Goodman Group,Australian Securities Exchange,Real Estate
ASX:XYZ,"Block, Inc.",Australian Securities Exchange,Technology
ASX:RMD,ResMed Inc.,Australian Securities Exchange,Healthcare
ASX:TLS,Telstra Group Limited,Australian Securities Exchange,Communication Services
ASX:FMG,Fortescue Ltd,Australian Securities Exchange,Materials
ASX:TCL,Transurban Group,Australian Securities Exchange,Industrials
ASX:WDS,Woodside Energy Group Ltd,Australian Securities Exchange,Energy
ASX:ALL,Aristocrat Leisure Limited,Australian Securities Exchange,Consumer Discretionary
ASX:WOW,Woolworths Group Limited,Australian Securities Exchange,Consumer Staples
ASX:WTC,WiseTech Global Limited,Australian Securities Exchange,Technology
ASX:QBE,QBE Insurance Group Limited,Australian Securities Exchange,Financials
ASX:AMC,Amcor plc,Australian Securities Exchange,Consumer Discretionary
ASX:REA,REA Group Limited,Australian Securities Exchange,Communication Services
ASX:BXB,Brambles Limited,Australian Securities Exchange,Industrials
ASX:NST,Northern Star Resources Limited,Australian Securities Exchange,Materials
ASX:PME,Pro Medicus Limited,Australian Securities Exchange,Healthcare
ASX:XRO,Xero Limited,Australian Securities Exchange,Technology
ASX:COL,Coles Group Limited,Australian Securities Exchange,Consumer Staples
ASX:NWSLV,News Corporation,Australian Securities Exchange,Communication Services
ASX:NWS,News Corporation,Australian Securities Exchange,Communication Services
ASX:CPU,Computershare Limited,Australian Securities Exchange,Financials
ASX:SUN,Suncorp Group Limited,Australian Securities Exchange,Financials
ASX:SGH,SGH Limited,Australian Securities Exchange,Industrials
ASX:STO,Santos Limited,Australian Securities Exchange,Energy
ASX:URW,Unibail-Rodamco-Westfield SE,Australian Securities Exchange,Real Estate
ASX:IAG,Insurance Australia Group Limited,Australian Securities Exchange,Financials
ASX:FPH,Fisher & Paykel Healthcare Corporation Limited,Australian Securities Exchange,Healthcare
ASX:SCG,Scentre Group,Australian Securities Exchange,Real Estate
ASX:ORG,Origin Energy Limited,Australian Securities Exchange,Utilities
ASX:COH,Cochlear Limited,Australian Securities Exchange,Healthcare
ASX:JHX,James Hardie Industries plc,Australian Securities Exchange,Materials
ASX:EVN,Evolution Mining Limited,Australian Securities Exchange,Materials
ASX:QAN,Qantas Airways Limited,Australian Securities Exchange,Industrials
ASX:SOL,Washington H. Soul Pattinson and Company Limited,Australian Securities Exchange,Financials
ASX:MEZ,Meridian Energy Limited,Australian Securities Exchange,Utilities
ASX:ASX,ASX Limited,Australian Securities Exchange,Financials
ASX:TNE,Technology One Limited,Australian Securities Exchange,Technology
ASX:CAR,CAR Group Limited,Australian Securities Exchange,Communication Services
ASX:S32,South32 Limited,Australian Securities Exchange,Materials
ASX:MPL,Medibank Private Limited,Australian Securities Exchange,Financials
ASX:SGP,Stockland,Australian Securities Exchange,Real Estate
ASX:SHL,Sonic Healthcare Limited,Australian Securities Exchange,Healthcare
