Symbol,Company Name,Exchange,Sector
TSX:NVDA,NVIDIA Corporation,Toronto Stock Exchange,Technology
TSX:MSFT,Microsoft Corporation,Toronto Stock Exchange,Technology
TSX:AAPL,Apple Inc.,Toronto Stock Exchange,Technology
TSX:AMZN,"Amazon.com, Inc.",Toronto Stock Exchange,Consumer Discretionary
TSX:GOOG,Alphabet Inc.,Toronto Stock Exchange,Communication Services
TSX:META,"Meta Platforms, Inc.",Toronto Stock Exchange,Communication Services
NEO:AVGO,Broadcom Inc.,Cboe Canada,Technology
TSX:BRK,Berkshire Hathaway Inc.,Toronto Stock Exchange,
TSX:TSLA,"Tesla, Inc.",Toronto Stock Exchange,Consumer Discretionary
NEO:WMT,Walmart Inc.,Cboe Canada,Consumer Staples
NEO:JPM,JPMorgan Chase & Co.,Cboe Canada,Financials
NEO:LLY,Eli Lilly and Company,Cboe Canada,Healthcare
NEO:VISA,Visa Inc.,Cboe Canada,Financials
NEO:MA,Mastercard Incorporated,Cboe Canada,Financials
NEO:NFLX,"Netflix, Inc.",Cboe Canada,Communication Services
NEO:ORAC,Oracle Corporation,Cboe Canada,Technology
NEO:XOM,Exxon Mobil Corporation,Cboe Canada,Energy
TSX:COST,Costco Wholesale Corporation,Toronto Stock Exchange,Consumer Staples
NEO:PG,The Procter & Gamble Company,Cboe Canada,Consumer Staples
NEO:JNJ,Johnson & Johnson,Cboe Canada,Healthcare
NEO:HD,"The Home Depot, Inc.",Cboe Canada,Consumer Discretionary
NEO:SAPS,SAP SE,Cboe Canada,Technology
NEO:NVON,Novo Nordisk A/S,Cboe Canada,
NEO:BOFA,Bank of America Corporation,Cboe Canada,Financials
NEO:ABBV,AbbVie Inc.,Cboe Canada,Healthcare
NEO:PLTR,Palantir Technologies Inc.,Cboe Canada,Technology
TSX:COLA,The Coca-Cola Company,Toronto Stock Exchange,
NEO:COLA,The Coca-Cola Company,Cboe Canada,Consumer Staples
NEO:ASML,ASML Holding N.V.,Cboe Canada,Technology
NEO:UNH,UnitedHealth Group Incorporated,Cboe Canada,Healthcare
NEO:NEST,Nestlé S.A.,Cboe Canada,
NEO:GE,General Electric Company,Cboe Canada,Industrials
NEO:ROG,Roche Holding AG,Cboe Canada,Healthcare
TSX:CSCO,"Cisco Systems, Inc.",Toronto Stock Exchange,Technology
NEO:CRM,"Salesforce, Inc.",Cboe Canada,Technology
NEO:IBM,International Business Machines Corporation,Cboe Canada,Technology
NEO:CHEV,Chevron Corporation,Cboe Canada,Energy
NEO:WFCS,Wells Fargo & Company,Cboe Canada,Financials
NEO:TOYM,Toyota Motor Corporation,Cboe Canada,
NEO:NVS,Novartis AG,Cboe Canada,Healthcare
NEO:MCDS,McDonald's Corporation,Cboe Canada,Consumer Discretionary
NEO:AXP,American Express Company,Cboe Canada,Financials
NEO:NOWS,"ServiceNow, Inc.",Cboe Canada,Technology
NEO:DIS,The Walt Disney Company,Cboe Canada,Communication Services
TSX:AMD,"Advanced Micro Devices, Inc.",Toronto Stock Exchange,Technology
NEO:MRK,"Merck & Co., Inc.",Cboe Canada,Healthcare
NEO:SMNS,Siemens Aktiengesellschaft,Cboe Canada,Industrials
NEO:ISRG,"Intuitive Surgical, Inc.",Cboe Canada,Healthcare
NEO:RTX,RTX Corporation,Cboe Canada,Industrials
NEO:DTEL,Deutsche Telekom AG,Cboe Canada,
NEO:VZ,Verizon Communications Inc.,Cboe Canada,Communication Services
NEO:TXN,Texas Instruments Incorporated,Cboe Canada,Technology
TSX:RY,Royal Bank of Canada,Toronto Stock Exchange,Financials
NEO:PEP,"PepsiCo, Inc.",Cboe Canada,Consumer Staples
NEO:UBER,"Uber Technologies, Inc.",Cboe Canada,Technology
NEO:GS,"The Goldman Sachs Group, Inc.",Cboe Canada,Financials
NEO:BKNG,Booking Holdings Inc.,Cboe Canada,Consumer Discretionary
