Symbol,Company Name,Exchange,Sector
SHA:601398,Industrial and Commercial Bank of China Limited,Shanghai Stock Exchange,Financials
SHA:601288,Agricultural Bank of China Limited,Shanghai Stock Exchange,Financials
SHA:600519,"Kweichow Moutai Co., Ltd.",Shanghai Stock Exchange,Consumer Staples
SHA:600941,China Mobile Limited,Shanghai Stock Exchange,Communication Services
SHA:601939,China Construction Bank Corporation,Shanghai Stock Exchange,Financials
SHA:601857,PetroChina Company Limited,Shanghai Stock Exchange,Energy
SHA:601988,Bank of China Limited,Shanghai Stock Exchange,Financials
SHA:600036,"China Merchants Bank Co., Ltd.",Shanghai Stock Exchange,Financials
SHE:300750,"Contemporary Amperex Technology Co., Limited",Shenzhen Stock Exchange,Industrials
SHE:002594,BYD Company Limited,Shenzhen Stock Exchange,Consumer Discretionary
SHA:601628,China Life Insurance Company Limited,Shanghai Stock Exchange,Financials
SHA:601318,"Ping An Insurance (Group) Company of China, Ltd.",Shanghai Stock Exchange,Financials
SHA:600938,CNOOC Limited,Shanghai Stock Exchange,Energy
SHA:601088,China Shenhua Energy Company Limited,Shanghai Stock Exchange,Energy
SHA:600900,"China Yangtze Power Co., Ltd.",Shanghai Stock Exchange,Utilities
SHA:601728,China Telecom Corporation Limited,Shanghai Stock Exchange,Communication Services
SHA:600028,China Petroleum & Chemical Corporation,Shanghai Stock Exchange,Energy
SHE:000333,"Midea Group Co., Ltd.",Shenzhen Stock Exchange,Consumer Discretionary
SHA:601328,"Bank of Communications Co., Ltd.",Shanghai Stock Exchange,Financials
SHA:601658,"Postal Savings Bank of China Co., Ltd.",Shanghai Stock Exchange,Financials
SHA:601166,"Industrial Bank Co., Ltd.",Shanghai Stock Exchange,Financials
SHE:000858,"Wuliangye Yibin Co.,Ltd.",Shenzhen Stock Exchange,Consumer Staples
SHA:601899,Zijin Mining Group Company Limited,Shanghai Stock Exchange,Materials
SHA:601998,China CITIC Bank Corporation Limited,Shanghai Stock Exchange,Financials
SHA:601138,"Foxconn Industrial Internet Co., Ltd.",Shanghai Stock Exchange,Technology
SHA:688981,Semiconductor Manufacturing International Corporation,Shanghai Stock Exchange,Technology
SHA:600030,CITIC Securities Company Limited,Shanghai Stock Exchange,Financials
SHA:600276,"Jiangsu Hengrui Medicine Co., Ltd.",Shanghai Stock Exchange,Healthcare
SHA:600000,"Shanghai Pudong Development Bank Co., Ltd.",Shanghai Stock Exchange,Financials
SHA:601319,The People's Insurance Company (Group) of China Limited,Shanghai Stock Exchange,Financials
SHE:300059,"East Money Information Co.,Ltd.",Shenzhen Stock Exchange,Financials
SHA:688041,"Hygon Information Technology Co., Ltd.",Shanghai Stock Exchange,Technology
SHA:601601,"China Pacific Insurance (Group) Co., Ltd.",Shanghai Stock Exchange,Financials
SHA:601211,"Guotai Haitong Securities Co., Ltd.",Shanghai Stock Exchange,Financials
SHE:300760,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",Shenzhen Stock Exchange,Healthcare
SHA:601816,"Beijing-Shanghai High-Speed Railway Co., Ltd.",Shanghai Stock Exchange,Industrials
SHE:002415,"Hangzhou Hikvision Digital Technology Co., Ltd.",Shenzhen Stock Exchange,Technology
SHA:688256,Cambricon Technologies Corporation Limited,Shanghai Stock Exchange,Technology
SHE:000651,"Gree Electric Appliances, Inc. of Zhuhai",Shenzhen Stock Exchange,Consumer Discretionary
SHA:688235,BeOne Medicines Ltd.,Shanghai Stock Exchange,Healthcare
SHA:601919,"COSCO SHIPPING Holdings Co., Ltd.",Shanghai Stock Exchange,Industrials
SHA:601668,China State Construction Engineering Corporation Limited,Shanghai Stock Exchange,Industrials
SHA:601818,China Everbright Bank Company Limited,Shanghai Stock Exchange,Financials
SHA:603288,Foshan Haitian Flavouring and Food Company Ltd.,Shanghai Stock Exchange,Consumer Staples
SHE:002475,"Luxshare Precision Industry Co., Ltd.",Shenzhen Stock Exchange,Technology
