Symbol,Company Name,Exchange,Sector
ETR:NVD,NVIDIA Corporation,Deutsche Börse Xetra,Technology
FRA:NVD,NVIDIA Corporation,Frankfurt Stock Exchange,Technology
ETR:MSF,Microsoft Corporation,Deutsche Börse Xetra,Technology
FRA:MSF,Microsoft Corporation,Frankfurt Stock Exchange,Technology
FRA:APC,Apple Inc.,Frankfurt Stock Exchange,Technology
ETR:APC,Apple Inc.,Deutsche Börse Xetra,Technology
ETR:AMZ,"Amazon.com, Inc.",Deutsche Börse Xetra,Consumer Discretionary
FRA:AMZ,"Amazon.com, Inc.",Frankfurt Stock Exchange,
FRA:ABEC,Alphabet Inc.,Frankfurt Stock Exchange,Communication Services
ETR:ABEA,Alphabet Inc.,Deutsche Börse Xetra,Communication Services
ETR:ABEC,Alphabet Inc.,Deutsche Börse Xetra,Communication Services
ETR:FB2A,"Meta Platforms, Inc.",Deutsche Börse Xetra,Communication Services
FRA:FB2A,"Meta Platforms, Inc.",Frankfurt Stock Exchange,Communication Services
FRA:1YD,Broadcom Inc.,Frankfurt Stock Exchange,
ETR:1YD,Broadcom Inc.,Deutsche Börse Xetra,Technology
ETR:BRYN,Berkshire Hathaway Inc.,Deutsche Börse Xetra,Financials
FRA:TL0,"Tesla, Inc.",Frankfurt Stock Exchange,
ETR:TL0,"Tesla, Inc.",Deutsche Börse Xetra,Consumer Discretionary
ETR:WMT,Walmart Inc.,Deutsche Börse Xetra,Consumer Staples
FRA:WMT,Walmart Inc.,Frankfurt Stock Exchange,
ETR:CMC,JPMorgan Chase & Co.,Deutsche Börse Xetra,Financials
FRA:CMC,JPMorgan Chase & Co.,Frankfurt Stock Exchange,
ETR:LLY,Eli Lilly and Company,Deutsche Börse Xetra,Healthcare
FRA:LLY,Eli Lilly and Company,Frankfurt Stock Exchange,
ETR:3V64,Visa Inc.,Deutsche Börse Xetra,Financials
FRA:3V64,Visa Inc.,Frankfurt Stock Exchange,
FRA:NNND,Tencent Holdings Limited,Frankfurt Stock Exchange,Communication Services
ETR:M4I,Mastercard Incorporated,Deutsche Börse Xetra,Financials
FRA:M4I,Mastercard Incorporated,Frankfurt Stock Exchange,
FRA:NFC,"Netflix, Inc.",Frankfurt Stock Exchange,
ETR:NFC,"Netflix, Inc.",Deutsche Börse Xetra,Communication Services
ETR:ORC,Oracle Corporation,Deutsche Börse Xetra,Technology
FRA:ORC,Oracle Corporation,Frankfurt Stock Exchange,
ETR:XONA,Exxon Mobil Corporation,Deutsche Börse Xetra,Energy
