Symbol,Company Name,Exchange,Sector
HKG:0700,Tencent Holdings Limited,Hong Kong Stock Exchange,Communication Services
HKG:1398,Industrial and Commercial Bank of China Limited,Hong Kong Stock Exchange,Financials
HKG:9988,Alibaba Group Holding Limited,Hong Kong Stock Exchange,Consumer Discretionary
HKG:1288,Agricultural Bank of China Limited,Hong Kong Stock Exchange,Financials
HKG:4333,"Cisco Systems, Inc.",Hong Kong Stock Exchange,Technology
HKG:0941,China Mobile Limited,Hong Kong Stock Exchange,Communication Services
HKG:0939,China Construction Bank Corporation,Hong Kong Stock Exchange,Financials
HKG:0857,PetroChina Company Limited,Hong Kong Stock Exchange,Energy
HKG:3988,Bank of China Limited,Hong Kong Stock Exchange,Financials
HKG:0005,HSBC Holdings plc,Hong Kong Stock Exchange,Financials
HKG:1810,Xiaomi Corporation,Hong Kong Stock Exchange,Technology
HKG:3968,"China Merchants Bank Co., Ltd.",Hong Kong Stock Exchange,Financials
HKG:3750,"Contemporary Amperex Technology Co., Limited",Hong Kong Stock Exchange,Industrials
HKG:1211,BYD Company Limited,Hong Kong Stock Exchange,Consumer Discretionary
HKG:4336,"Applied Materials, Inc.",Hong Kong Stock Exchange,Technology
HKG:2628,China Life Insurance Company Limited,Hong Kong Stock Exchange,Financials
HKG:2318,"Ping An Insurance (Group) Company of China, Ltd.",Hong Kong Stock Exchange,Financials
HKG:0883,CNOOC Limited,Hong Kong Stock Exchange,Energy
HKG:3690,Meituan,Hong Kong Stock Exchange,Consumer Discretionary
HKG:1088,China Shenhua Energy Company Limited,Hong Kong Stock Exchange,Energy
HKG:6288,"Fast Retailing Co., Ltd.",Hong Kong Stock Exchange,Consumer Discretionary
HKG:0728,China Telecom Corporation Limited,Hong Kong Stock Exchange,Communication Services
HKG:1299,AIA Group Limited,Hong Kong Stock Exchange,Financials
HKG:0386,China Petroleum & Chemical Corporation,Hong Kong Stock Exchange,Energy
HKG:9999,"NetEase, Inc.",Hong Kong Stock Exchange,Communication Services
HKG:0300,"Midea Group Co., Ltd.",Hong Kong Stock Exchange,Consumer Discretionary
HKG:3328,"Bank of Communications Co., Ltd.",Hong Kong Stock Exchange,Financials
HKG:1658,"Postal Savings Bank of China Co., Ltd.",Hong Kong Stock Exchange,Financials
