Symbol,Company Name,Exchange,Sector
BOM:500325,Reliance Industries Limited,Bombay Stock Exchange,
NSE:RELIANCE,Reliance Industries Limited,National Stock Exchange of India,Energy
NSE:HDFCBANK,HDFC Bank Limited,National Stock Exchange of India,Financials
BOM:500180,HDFC Bank Limited,Bombay Stock Exchange,
NSE:TCS,Tata Consultancy Services Limited,National Stock Exchange of India,Technology
BOM:532540,Tata Consultancy Services Limited,Bombay Stock Exchange,
NSE:AIRTELPP,Bharti Airtel Limited,National Stock Exchange of India,
BOM:532454,Bharti Airtel Limited,Bombay Stock Exchange,
BOM:890157,Bharti Airtel Limited,Bombay Stock Exchange,
NSE:BHARTIARTL,Bharti Airtel Limited,National Stock Exchange of India,Communication Services
NSE:ICICIBANK,ICICI Bank Limited,National Stock Exchange of India,Financials
BOM:532174,ICICI Bank Limited,Bombay Stock Exchange,
NSE:SBIN,State Bank of India,National Stock Exchange of India,Financials
BOM:500112,State Bank of India,Bombay Stock Exchange,
NSE:INFY,Infosys Limited,National Stock Exchange of India,Technology
BOM:500209,Infosys Limited,Bombay Stock Exchange,
NSE:BAJFINANCE,Bajaj Finance Limited,National Stock Exchange of India,Financials
BOM:500034,Bajaj Finance Limited,Bombay Stock Exchange,
NSE:LICI,Life Insurance Corporation of India,National Stock Exchange of India,Financials
BOM:543526,Life Insurance Corporation of India,Bombay Stock Exchange,
NSE:HINDUNILVR,Hindustan Unilever Limited,National Stock Exchange of India,Consumer Staples
BOM:500696,Hindustan Unilever Limited,Bombay Stock Exchange,
NSE:ITC,ITC Limited,National Stock Exchange of India,Consumer Staples
BOM:500875,ITC Limited,Bombay Stock Exchange,
NSE:LT,Larsen & Toubro Limited,National Stock Exchange of India,Industrials
BOM:500510,Larsen & Toubro Limited,Bombay Stock Exchange,
NSE:HCLTECH,HCL Technologies Limited,National Stock Exchange of India,Technology
BOM:532281,HCL Technologies Limited,Bombay Stock Exchange,
NSE:KOTAKBANK,Kotak Mahindra Bank Limited,National Stock Exchange of India,Financials
BOM:500247,Kotak Mahindra Bank Limited,Bombay Stock Exchange,
BOM:524715,Sun Pharmaceutical Industries Limited,Bombay Stock Exchange,
NSE:SUNPHARMA,Sun Pharmaceutical Industries Limited,National Stock Exchange of India,Healthcare
NSE:MARUTI,Maruti Suzuki India Limited,National Stock Exchange of India,Consumer Discretionary
BOM:532500,Maruti Suzuki India Limited,Bombay Stock Exchange,
BOM:532215,Axis Bank Limited,Bombay Stock Exchange,
NSE:AXISBANK,Axis Bank Limited,National Stock Exchange of India,Financials
