Symbol,Company Name,Exchange,Sector
TYO:7203,Toyota Motor Corporation,Tokyo Stock Exchange,Consumer Discretionary
TYO:6758,Sony Group Corporation,Tokyo Stock Exchange,Technology
TYO:8306,"Mitsubishi UFJ Financial Group, Inc.",Tokyo Stock Exchange,Financials
TYO:6501,"Hitachi, Ltd.",Tokyo Stock Exchange,Industrials
TYO:9983,"Fast Retailing Co., Ltd.",Tokyo Stock Exchange,Consumer Discretionary
TYO:6861,Keyence Corporation,Tokyo Stock Exchange,Technology
TYO:7974,"Nintendo Co., Ltd.",Tokyo Stock Exchange,Technology
TYO:8316,"Sumitomo Mitsui Financial Group, Inc.",Tokyo Stock Exchange,Financials
TYO:9432,Nippon Telegraph and Telephone Corporation,Tokyo Stock Exchange,Communication Services
TYO:4519,"Chugai Pharmaceutical Co., Ltd.",Tokyo Stock Exchange,Healthcare
TYO:6098,"Recruit Holdings Co., Ltd.",Tokyo Stock Exchange,Industrials
TYO:8766,"Tokio Marine Holdings, Inc.",Tokyo Stock Exchange,Financials
TYO:9984,SoftBank Group Corp.,Tokyo Stock Exchange,Communication Services
TYO:7011,"Mitsubishi Heavy Industries, Ltd.",Tokyo Stock Exchange,Industrials
TYO:8035,Tokyo Electron Limited,Tokyo Stock Exchange,Technology
TYO:8058,Mitsubishi Corporation,Tokyo Stock Exchange,Industrials
TYO:8001,ITOCHU Corporation,Tokyo Stock Exchange,Industrials
TYO:9434,SoftBank Corp.,Tokyo Stock Exchange,Communication Services
TYO:8411,"Mizuho Financial Group, Inc.",Tokyo Stock Exchange,Financials
TYO:9433,KDDI Corporation,Tokyo Stock Exchange,Communication Services
TYO:4063,"Shin-Etsu Chemical Co., Ltd.",Tokyo Stock Exchange,Materials
TYO:8031,"Mitsui & Co., Ltd.",Tokyo Stock Exchange,Industrials
TYO:2914,Japan Tobacco Inc.,Tokyo Stock Exchange,Consumer Staples
TYO:4502,Takeda Pharmaceutical Company Limited,Tokyo Stock Exchange,Healthcare
TYO:4568,"Daiichi Sankyo Company, Limited",Tokyo Stock Exchange,Healthcare
TYO:6702,Fujitsu Limited,Tokyo Stock Exchange,Technology
TYO:6503,Mitsubishi Electric Corporation,Tokyo Stock Exchange,Industrials
TYO:6857,Advantest Corporation,Tokyo Stock Exchange,Technology
TYO:7741,HOYA Corporation,Tokyo Stock Exchange,Healthcare
TYO:7267,"Honda Motor Co., Ltd.",Tokyo Stock Exchange,Consumer Discretionary
TYO:3382,"Seven & i Holdings Co., Ltd.",Tokyo Stock Exchange,Consumer Staples
TYO:9613,NTT DATA Group Corporation,Tokyo Stock Exchange,Technology
TYO:6902,DENSO Corporation,Tokyo Stock Exchange,Consumer Discretionary
TYO:7182,"JAPAN POST BANK Co., Ltd.",Tokyo Stock Exchange,Financials
TYO:4661,"Oriental Land Co., Ltd.",Tokyo Stock Exchange,Consumer Discretionary
TYO:8725,"MS&AD Insurance Group Holdings, Inc.",Tokyo Stock Exchange,Financials
TYO:6701,NEC Corporation,Tokyo Stock Exchange,Technology
TYO:6201,Toyota Industries Corporation,Tokyo Stock Exchange,Consumer Discretionary
TYO:6367,"Daikin Industries,Ltd.",Tokyo Stock Exchange,Industrials
TYO:8002,Marubeni Corporation,Tokyo Stock Exchange,Industrials
TYO:8053,Sumitomo Corporation,Tokyo Stock Exchange,Industrials
TYO:6301,Komatsu Ltd.,Tokyo Stock Exchange,Industrials
TYO:5108,Bridgestone Corporation,Tokyo Stock Exchange,Consumer Discretionary
TYO:6178,"Japan Post Holdings Co., Ltd.",Tokyo Stock Exchange,Financials
TYO:8750,"Dai-ichi Life Holdings, Inc.",Tokyo Stock Exchange,Financials
TYO:8630,"Sompo Holdings, Inc.",Tokyo Stock Exchange,Financials
TYO:6981,"Murata Manufacturing Co., Ltd.",Tokyo Stock Exchange,Technology
