Symbol,Company Name,Exchange,Sector
KRX:005930,"Samsung Electronics Co., Ltd.",Korea Stock Exchange,Technology
KRX:000660,SK hynix Inc.,Korea Stock Exchange,Technology
KRX:207940,"Samsung Biologics Co.,Ltd.",Korea Stock Exchange,Healthcare
KRX:373220,"LG Energy Solution, Ltd.",Korea Stock Exchange,Industrials
KRX:012450,"Hanwha Aerospace Co., Ltd.",Korea Stock Exchange,Industrials
KRX:005387,Hyundai Motor Company,Korea Stock Exchange,Consumer Discretionary
KRX:005380,Hyundai Motor Company,Korea Stock Exchange,Consumer Discretionary
KRX:105560,KB Financial Group Inc.,Korea Stock Exchange,Financials
KRX:329180,"HD Hyundai Heavy Industries Co.,Ltd.",Korea Stock Exchange,Industrials
KRX:000270,Kia Corporation,Korea Stock Exchange,Consumer Discretionary
KRX:068270,"Celltrion, Inc.",Korea Stock Exchange,Healthcare
KRX:034020,"Doosan Enerbility Co., Ltd.",Korea Stock Exchange,Industrials
KRX:035420,NAVER Corporation,Korea Stock Exchange,Communication Services
KRX:055550,"Shinhan Financial Group Co., Ltd.",Korea Stock Exchange,Financials
KRX:028260,Samsung C&T Corporation,Korea Stock Exchange,Industrials
KRX:012330,"Hyundai Mobis Co.,Ltd",Korea Stock Exchange,Consumer Discretionary
KRX:042660,"Hanwha Ocean Co., Ltd.",Korea Stock Exchange,Industrials
KRX:009540,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd.",Korea Stock Exchange,Industrials
KRX:011200,"HMM Co.,Ltd",Korea Stock Exchange,Industrials
KRX:035720,Kakao Corp.,Korea Stock Exchange,Communication Services
KRX:086790,Hana Financial Group Inc.,Korea Stock Exchange,Financials
KOSDAQ:196170,ALTEOGEN Inc.,KOSDAQ,Healthcare
KRX:032830,"Samsung Life Insurance Co., Ltd.",Korea Stock Exchange,Financials
KRX:005490,POSCO Holdings Inc.,Korea Stock Exchange,Materials
KRX:138040,Meritz Financial Group Inc.,Korea Stock Exchange,Financials
KRX:064350,Hyundai Rotem Company,Korea Stock Exchange,Industrials
KRX:015760,Korea Electric Power Corporation,Korea Stock Exchange,Utilities
KRX:000810,"Samsung Fire & Marine Insurance Co., Ltd.",Korea Stock Exchange,Financials
KRX:259960,"KRAFTON, Inc.",Korea Stock Exchange,Communication Services
KRX:402340,"SK Square Co., Ltd.",Korea Stock Exchange,Technology
KRX:267260,"HD Hyundai Electric Co., Ltd.",Korea Stock Exchange,Industrials
KRX:051910,"LG Chem, Ltd.",Korea Stock Exchange,Materials
KRX:316140,Woori Financial Group Inc.,Korea Stock Exchange,Financials
KRX:010140,"Samsung Heavy Industries Co., Ltd.",Korea Stock Exchange,Industrials
KRX:010130,"Korea Zinc Company, Ltd.",Korea Stock Exchange,Materials
KRX:096770,"SK Innovation Co., Ltd.",Korea Stock Exchange,Energy
KRX:323410,KakaoBank Corp.,Korea Stock Exchange,Financials
KRX:024110,Industrial Bank of Korea,Korea Stock Exchange,Financials
KRX:352820,"HYBE Co., Ltd.",Korea Stock Exchange,Communication Services
KRX:033780,KT&G Corporation,Korea Stock Exchange,Consumer Staples
KRX:066570,LG Electronics Inc.,Korea Stock Exchange,Technology
KRX:030200,KT Corporation,Korea Stock Exchange,Communication Services
KRX:003550,LG Corp.,Korea Stock Exchange,Technology
KRX:006405,"Samsung SDI Co., Ltd.",Korea Stock Exchange,Industrials
KRX:006400,"Samsung SDI Co., Ltd.",Korea Stock Exchange,Industrials
KRX:017670,"SK Telecom Co., Ltd.",Korea Stock Exchange,Communication Services
KRX:018260,"Samsung SDS Co., Ltd.",Korea Stock Exchange,Technology
KRX:034730,SK Inc.,Korea Stock Exchange,Industrials
KRX:079550,"LIG Nex1 Co., Ltd.",Korea Stock Exchange,Industrials
KRX:000150,Doosan Corporation,Korea Stock Exchange,Industrials
KRX:000155,Doosan Corporation,Korea Stock Exchange,Industrials
KRX:272210,"Hanwha Systems Co., Ltd.",Korea Stock Exchange,Industrials
KRX:009150,"Samsung Electro-Mechanics Co., Ltd.",Korea Stock Exchange,Technology
KRX:180640,Hanjin Kal,Korea Stock Exchange,Consumer Discretionary
KRX:18064K,Hanjin Kal,Korea Stock Exchange,Consumer Discretionary
KRX:003670,"Posco Future M Co., Ltd.",Korea Stock Exchange,Industrials
KRX:086280,"Hyundai Glovis Co., Ltd.",Korea Stock Exchange,Industrials
KOSDAQ:247540,"Ecopro BM. Co., Ltd.",KOSDAQ,Industrials
KRX:006800,"Mirae Asset Securities Co., Ltd.",Korea Stock Exchange,Financials
KRX:00680K,"Mirae Asset Securities Co., Ltd.",Korea Stock Exchange,Financials
KRX:047050,Posco International Corporation,Korea Stock Exchange,Industrials
KRX:047810,"Korea Aerospace Industries, Ltd.",Korea Stock Exchange,Industrials
