Symbol,Company Name,Exchange,Sector
TPE:2330,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Stock Exchange,Technology
TPE:2317,"Hon Hai Precision Industry Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:2454,MediaTek Inc.,Taiwan Stock Exchange,Technology
TPE:2881,"Fubon Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2382,Quanta Computer Inc.,Taiwan Stock Exchange,Technology
TPE:2308,"Delta Electronics, Inc.",Taiwan Stock Exchange,Technology
TPE:2412,"Chunghwa Telecom Co., Ltd.",Taiwan Stock Exchange,Communication Services
TPE:2882B,"Cathay Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2882A,"Cathay Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2882,"Cathay Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2891,"CTBC Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:3711,"ASE Technology Holding Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:2886,"Mega Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2303,United Microelectronics Corporation,Taiwan Stock Exchange,Technology
TPE:2603,Evergreen Marine Corporation (Taiwan) Ltd.,Taiwan Stock Exchange,Industrials
TPE:2884,"E.SUN Financial Holding Company, Ltd.",Taiwan Stock Exchange,Financials
TPE:2357,ASUSTeK Computer Inc.,Taiwan Stock Exchange,Technology
TPE:6669,Wiwynn Corporation,Taiwan Stock Exchange,Technology
TPE:1216,Uni-President Enterprises Corp.,Taiwan Stock Exchange,Consumer Staples
TPE:2345,Accton Technology Corporation,Taiwan Stock Exchange,Technology
TPE:2885,"Yuanta Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2892,"First Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:5880,"Taiwan Cooperative Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2880,"Hua Nan Financial Holdings Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:6505,Formosa Petrochemical Corporation,Taiwan Stock Exchange,Energy
TPE:3045,"Taiwan Mobile Co., Ltd.",Taiwan Stock Exchange,Communication Services
TPE:3231,Wistron Corporation,Taiwan Stock Exchange,Technology
TPE:2207,"Hotai Motor Co.,Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:4904,"Far EasTone Telecommunications Co., Ltd.",Taiwan Stock Exchange,Communication Services
TPE:3008,"LARGAN Precision Co.,Ltd",Taiwan Stock Exchange,Technology
TPE:2383,"Elite Material Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:3034,Novatek Microelectronics Corp.,Taiwan Stock Exchange,Technology
TPE:2890,SinoPac Financial Holdings Company Limited,Taiwan Stock Exchange,Financials
TPE:2883,"KGI Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2395,"Advantech Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:2002,China Steel Corporation,Taiwan Stock Exchange,Materials
TPE:2379,Realtek Semiconductor Corp.,Taiwan Stock Exchange,Technology
TPE:2615,Wan Hai Lines Ltd.,Taiwan Stock Exchange,Industrials
TPE:3017,"Asia Vital Components Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:2912,President Chain Store Corporation,Taiwan Stock Exchange,Consumer Staples
TPE:2327,Yageo Corporation,Taiwan Stock Exchange,Technology
TPE:2609,Yang Ming Marine Transport Corporation,Taiwan Stock Exchange,Industrials
TPEX:8069,E Ink Holdings Inc.,Taipei Exchange,Technology
TPEX:3293,"International Games System Co.,Ltd.",Taipei Exchange,Communication Services
TPE:2301,Lite-On Technology Corporation,Taiwan Stock Exchange,Technology
TPE:1303,Nan Ya Plastics Corporation,Taiwan Stock Exchange,Materials
TPE:4938,Pegatron Corporation,Taiwan Stock Exchange,Technology
TPE:1301,Formosa Plastics Corporation,Taiwan Stock Exchange,Materials
TPE:5876,"The Shanghai Commercial & Savings Bank, Ltd.",Taiwan Stock Exchange,Financials
TPE:3661,"Alchip Technologies, Limited",Taiwan Stock Exchange,Technology
TPE:2618,EVA Airways Corp.,Taiwan Stock Exchange,Industrials
TPE:2887,"Taishin Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2888,"Shin Kong Financial Holding Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2059,"King Slide Works Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:2801,"Chang Hwa Commercial Bank, Ltd.",Taiwan Stock Exchange,Financials
TPE:1101,"TCC Group Holdings Co., Ltd.",Taiwan Stock Exchange,Materials
TPE:5871,Chailease Holding Company Limited,Taiwan Stock Exchange,Financials
TPE:3653,"Jentech Precision Industrial Co., Ltd",Taiwan Stock Exchange,Technology
TPE:2376,"Giga-Byte Technology Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:1590,Airtac International Group,Taiwan Stock Exchange,Industrials
TPE:6446,PharmaEssentia Corporation,Taiwan Stock Exchange,Healthcare
TPE:1402,Far Eastern New Century Corporation,Taiwan Stock Exchange,Consumer Discretionary
TPEX:3529,eMemory Technology Inc.,Taipei Exchange,Technology
TPEX:5347,Vanguard International Semiconductor Corporation,Taipei Exchange,Technology
TPE:2408,Nanya Technology Corporation,Taiwan Stock Exchange,Technology
TPEX:5274,ASPEED Technology Inc.,Taipei Exchange,Technology
TPE:3037,Unimicron Technology Corp.,Taiwan Stock Exchange,Technology
TPE:2633,Taiwan High Speed Rail Corporation,Taiwan Stock Exchange,Industrials
TPE:3443,Global Unichip Corp.,Taiwan Stock Exchange,Technology
TPE:3533,"Lotes Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:2105,"Cheng Shin Rubber Ind. Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:1102,Asia Cement Corporation,Taiwan Stock Exchange,Materials
TPE:2356,Inventec Corporation,Taiwan Stock Exchange,Technology
TPE:6919,"Caliway Biopharmaceuticals Co., Ltd.",Taiwan Stock Exchange,Healthcare
TPE:5269,ASMedia Technology Inc.,Taiwan Stock Exchange,Technology
TPE:6415,Silergy Corp.,Taiwan Stock Exchange,Technology
TPEX:6488,"GlobalWafers Co., Ltd.",Taipei Exchange,Technology
TPE:1326,Formosa Chemicals & Fibre Corporation,Taiwan Stock Exchange,Materials
TPE:2360,Chroma ATE Inc.,Taiwan Stock Exchange,Technology
TPE:3036,"WT Microelectronics Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:1519,"Fortune Electric Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:2834,"Taiwan Business Bank, Ltd.",Taiwan Stock Exchange,Financials
TPE:2368,Gold Circuit Electronics Ltd.,Taiwan Stock Exchange,Technology
TPE:2610,"China Airlines, Ltd.",Taiwan Stock Exchange,Industrials
TPE:2474,"Catcher Technology Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:8464,"Nien Made Enterprise Co., LTD.",Taiwan Stock Exchange,Consumer Discretionary
TPE:2449,"King Yuan Electronics Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:6409,Voltronic Power Technology Corp.,Taiwan Stock Exchange,Industrials
TPE:3665,Bizlink Holding Inc.,Taiwan Stock Exchange,Industrials
TPE:2324,"Compal Electronics, Inc.",Taiwan Stock Exchange,Technology
TPE:2347,Synnex Technology International Corporation,Taiwan Stock Exchange,Technology
TPE:2377,"Micro-Star International Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:9910,"Feng Tay Enterprises Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:3702,WPG Holdings Limited,Taiwan Stock Exchange,Technology
TPE:3044,Tripod Technology Corporation,Taiwan Stock Exchange,Technology
TPE:2812,"Taichung Commercial Bank Co., Ltd.",Taiwan Stock Exchange,Financials
TPE:2385,"Chicony Electronics Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:1476,"Eclat Textile Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPEX:8299,Phison Electronics Corp.,Taipei Exchange,Technology
TPE:2353,Acer Incorporated,Taiwan Stock Exchange,Technology
TPE:1504,"TECO Electric & Machinery Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:2404,"United Integrated Services Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:4958,Zhen Ding Technology Holding Limited,Taiwan Stock Exchange,Technology
TPE:3481,Innolux Corporation,Taiwan Stock Exchange,Technology
TPE:2409,AUO Corporation,Taiwan Stock Exchange,Technology
TPE:6239,Powertech Technology Inc.,Taiwan Stock Exchange,Technology
TPE:1503,Shihlin Electric & Engineering Corp.,Taiwan Stock Exchange,Industrials
TPE:9904,Pou Chen Corporation,Taiwan Stock Exchange,Consumer Discretionary
TPE:2371,"Tatung Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:4763,"Jinan Acetate Chemical Co., Ltd.",Taiwan Stock Exchange,Materials
TPE:6526,Airoha Technology Corp.,Taiwan Stock Exchange,Technology
TPE:2354,"Foxconn Technology Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:6781,"Advanced Energy Solution Holding Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:1605,Walsin Lihwa Corporation,Taiwan Stock Exchange,Materials
TPE:9945,"Ruentex Development Co.,Ltd.",Taiwan Stock Exchange,Industrials
TPE:2344,Winbond Electronics Corporation,Taiwan Stock Exchange,Technology
TPE:6472,"Bora Pharmaceuticals Co., LTD.",Taiwan Stock Exchange,Healthcare
TPEX:6223,MPI Corporation,Taipei Exchange,Technology
TPE:2542,Highwealth Construction Corp.,Taiwan Stock Exchange,Real Estate
TPE:3706,MiTAC Holdings Corporation,Taiwan Stock Exchange,Technology
TPE:1513,Chung-Hsin Electric and Machinery Manufacturing Corp.,Taiwan Stock Exchange,Industrials
TPE:1229,Lien Hwa Industrial Holdings Corporation,Taiwan Stock Exchange,Industrials
TPE:3005,Getac Holdings Corporation,Taiwan Stock Exchange,Technology
TPE:2049,Hiwin Technologies Corporation,Taiwan Stock Exchange,Industrials
TPE:2027,"Ta Chen Stainless Pipe Co., Ltd.",Taiwan Stock Exchange,Materials
TPE:2646,"STARLUX Airlines Co., Ltd.",Taiwan Stock Exchange,Industrials
TPE:8454,momo.com Inc.,Taiwan Stock Exchange,Consumer Discretionary
TPEX:00933B,Cathay US Corporate 10+ Years Banking ETF,Taipei Exchange,
TPE:6176,Radiant Opto-Electronics Corporation,Taiwan Stock Exchange,Technology
TPE:1319,"Tong Yang Industry Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:2258,"Foxtron Vehicle Technologies Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPEX:6121,"Simplo Technology Co., Ltd.",Taipei Exchange,Industrials
TPE:6789,VisEra Technologies Company Ltd.,Taiwan Stock Exchange,Technology
TPE:6890,"Lai Yih Footwear Co., Ltd.",Taiwan Stock Exchange,Consumer Discretionary
TPE:8046,Nan Ya Printed Circuit Board Corporation,Taiwan Stock Exchange,Technology
TPE:2313,"Compeq Manufacturing Co., Ltd.",Taiwan Stock Exchange,Technology
TPE:4583,"Apex Dynamics, Inc.",Taiwan Stock Exchange,Industrials
TPE:2838,Union Bank of Taiwan,Taiwan Stock Exchange,Financials
