Symbol,Company Name,Exchange,Sector
LON:0QYP,Microsoft Corporation,London Stock Exchange,Technology
LON:0R1I,NVIDIA Corporation,London Stock Exchange,
LON:0R2V,Apple Inc.,London Stock Exchange,Technology
LON:0R1O,"Amazon.com, Inc.",London Stock Exchange,Consumer Discretionary
LON:0RIH,Alphabet Inc.,London Stock Exchange,Communication Services
LON:0HD6,Alphabet Inc.,London Stock Exchange,
LON:0QZI,"Meta Platforms, Inc.",London Stock Exchange,Communication Services
LON:0YXG,Broadcom Inc.,London Stock Exchange,Technology
LON:0R37,Berkshire Hathaway Inc.,London Stock Exchange,Financials
LON:0HN0,Berkshire Hathaway Inc.,London Stock Exchange,
LON:0R0X,"Tesla, Inc.",London Stock Exchange,
LON:0LCV,Taiwan Semiconductor Manufacturing Company Limited,London Stock Exchange,
LON:0R1W,Walmart Inc.,London Stock Exchange,Consumer Staples
LON:0Q1F,JPMorgan Chase & Co.,London Stock Exchange,Financials
LON:0QZ0,Visa Inc.,London Stock Exchange,Financials
LON:0LEA,Tencent Holdings Limited,London Stock Exchange,
LON:0Z4S,Tencent Holdings Limited,London Stock Exchange,
LON:0R2Z,Mastercard Incorporated,London Stock Exchange,Financials
LON:0QYI,"Netflix, Inc.",London Stock Exchange,Communication Services
LON:0R1Z,Oracle Corporation,London Stock Exchange,
LON:0R1M,Exxon Mobil Corporation,London Stock Exchange,
LON:0I47,Costco Wholesale Corporation,London Stock Exchange,Consumer Staples
LON:0NOF,The Procter & Gamble Company,London Stock Exchange,Consumer Staples
LON:0R34,Johnson & Johnson,London Stock Exchange,
LON:0R1G,"The Home Depot, Inc.",London Stock Exchange,Consumer Discretionary
LON:0NW4,SAP SE,London Stock Exchange,
LON:0A2W,SAP SE,London Stock Exchange,
LON:0QIU,Novo Nordisk A/S,London Stock Exchange,
LON:0TDD,Novo Nordisk A/S,London Stock Exchange,
LON:0Q16,Bank of America Corporation,London Stock Exchange,Financials
LON:0QCV,AbbVie Inc.,London Stock Exchange,Healthcare
LON:0A7R,Palantir Technologies Inc.,London Stock Exchange,
LON:0QZK,The Coca-Cola Company,London Stock Exchange,Consumer Staples
LON:0QB8,ASML Holding N.V.,London Stock Exchange,
LON:0M42,ASML Holding N.V.,London Stock Exchange,
LON:SMSN,"Samsung Electronics Co., Ltd.",London Stock Exchange,Technology
LON:BC94,"Samsung Electronics Co., Ltd.",London Stock Exchange,Technology
LON:0HV2,Hermès International Société en commandite par actions,London Stock Exchange,
LON:0M8V,Philip Morris International Inc.,London Stock Exchange,Consumer Staples
LON:0HCI,Alibaba Group Holding Limited,London Stock Exchange,Consumer Discretionary
LON:0R0O,UnitedHealth Group Incorporated,London Stock Exchange,
LON:0HAU,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",London Stock Exchange,
LON:0QR4,Nestlé S.A.,London Stock Exchange,Consumer Goods
LON:0R2L,"T-Mobile US, Inc.",London Stock Exchange,Communication Services
LON:0TDF,Roche Holding AG,London Stock Exchange,
LON:0QQ6,Roche Holding AG,London Stock Exchange,Healthcare
LON:0QOK,Roche Holding AG,London Stock Exchange,
LON:0R0K,"Cisco Systems, Inc.",London Stock Exchange,
LON:0QYJ,"Salesforce, Inc.",London Stock Exchange,
LON:0R2Q,Chevron Corporation,London Stock Exchange,Energy
LON:0R2F,Wells Fargo & Company,London Stock Exchange,
LON:0LG5,Toyota Motor Corporation,London Stock Exchange,
LON:TYT,Toyota Motor Corporation,London Stock Exchange,Consumer Discretionary
LON:0Q15,Abbott Laboratories,London Stock Exchange,
LON:0NZM,L'Oréal S.A.,London Stock Exchange,
LON:0QLR,Novartis AG,London Stock Exchange,
LON:0K9E,Novartis AG,London Stock Exchange,
LON:0A4J,AstraZeneca PLC,London Stock Exchange,
LON:AZN,AstraZeneca PLC,London Stock Exchange,Healthcare
LON:0M2B,Linde plc,London Stock Exchange,
LON:0R16,McDonald's Corporation,London Stock Exchange,Consumer Discretionary
LON:RIGD,Reliance Industries Limited,London Stock Exchange,Energy
LON:0QZO,The Walt Disney Company,London Stock Exchange,Communication Services
LON:0JCT,Intuit Inc.,London Stock Exchange,Technology
LON:0QYU,Morgan Stanley,London Stock Exchange,Financials
LON:0R3C,American Express Company,London Stock Exchange,Financials
LON:0L5N,"ServiceNow, Inc.",London Stock Exchange,Technology
LON:SHEL,Shell plc,London Stock Exchange,Energy
LON:HSBA,HSBC Holdings plc,London Stock Exchange,Financials
LON:0QZ1,AT&T Inc.,London Stock Exchange,Communication Services
LON:0QAH,"Merck & Co., Inc.",London Stock Exchange,Healthcare
LON:MRK,"Merck & Co., Inc.",London Stock Exchange,Consumer Discretionary
LON:0Y0Y,Accenture plc,London Stock Exchange,Technology
